ID,song,song_popularity,artist,album,album_cover,artist_popularity,genre
,I Ain't Worried,95,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,84,pop
,Left and Right (Feat. Jung Kook of BTS),94,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),https://i.scdn.co/image/ab67616d0000b2731c069c836dc6cd5b34c310fe,83,pop
,As It Was,93,Harry Styles,Harry's House,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,91,pop
,Under The Influence,93,Chris Brown,Indigo (Extended),https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,87,pop
,Late Night Talking,93,Harry Styles,Harry's House,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,91,pop
,Jimmy Cooks (feat. 21 Savage),91,Drake,"Honestly, Nevermind",https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,95,hiphop
,Bad Decisions (with BTS & Snoop Dogg),91,benny blanco,Bad Decisions (with BTS & Snoop Dogg),https://i.scdn.co/image/ab67616d0000b2738c47a33a55c6d23cc9d2cf3f,77,pop
,I'm Good (Blue),91,David Guetta,I'm Good (Blue),https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,87,pop
,Sweater Weather,91,The Neighbourhood,I Love You.,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,83,pop
,Jimmy Cooks (feat. 21 Savage),91,Drake,"Honestly, Nevermind",https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,95,pop
,Ferrari,91,James Hype,Ferrari,https://i.scdn.co/image/ab67616d0000b2736cc861b5c9c7cdef61b010b4,75,electronic
,Dandelions,90,Ruth B.,Safe Haven,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,75,pop
,One Kiss (with Dua Lipa),90,Calvin Harris,One Kiss (with Dua Lipa),https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,85,pop
,Vegas (From the Original Motion Picture Soundtrack ELVIS),90,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),https://i.scdn.co/image/ab67616d0000b27329e2914af6e83df7e963d365,88,pop
,MIDDLE OF THE NIGHT,90,Elley Duhé,MIDDLE OF THE NIGHT,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e,75,pop
,One Kiss (with Dua Lipa),90,Calvin Harris,One Kiss (with Dua Lipa),https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,85,electronic
,traitor,89,Olivia Rodrigo,SOUR,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,85,pop
,Where Are You Now,89,Lost Frequencies,Where Are You Now,https://i.scdn.co/image/ab67616d0000b2738d7a7f1855b04104ba59c18b,77,pop
,Ghost,89,Justin Bieber,Justice,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,90,pop
,Bad Habits,89,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,90,pop
,Woman,89,Doja Cat,Planet Her,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,88,pop
,Happier Than Ever,88,Billie Eilish,Happier Than Ever,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,88,pop
,Shivers,88,Ed Sheeran,=,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,90,pop
,Yellow,88,Coldplay,Parachutes,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,88,pop
,good 4 u,88,Olivia Rodrigo,SOUR,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,85,pop
,No Role Modelz,87,J. Cole,2014 Forest Hills Drive,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,85,hiphop
,Without Me,87,Eminem,The Eminem Show,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,90,hiphop
,Numb,87,Marshmello,Numb,https://i.scdn.co/image/ab67616d0000b2732ff34dbc50313f8cea7b5db5,83,pop
,Night Changes,87,One Direction,FOUR (Deluxe),https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,84,pop
,Don’t Blame Me,87,Taylor Swift,reputation,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,94,pop
,THE SHADE,87,Rex Orange County,WHO CARES?,https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0,80,pop
,The Real Slim Shady,86,Eminem,The Marshall Mathers LP,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,90,hiphop
,There's Nothing Holdin' Me Back,86,Shawn Mendes,Illuminate (Deluxe),https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,84,pop
,Someone You Loved,86,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,78,pop
,Heather,86,Conan Gray,Kid Krow,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,81,pop
,Infinity,86,Jaymes Young,Feel Something,https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f,71,pop
,STAY (with Justin Bieber),86,The Kid LAROI,F*CK LOVE 3: OVER YOU,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,82,pop
,Boyfriend,86,Dove Cameron,Boyfriend,https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc,73,pop
,In The Stars,86,Benson Boone,In The Stars,https://i.scdn.co/image/ab67616d0000b273786e4e2c43c2897fafabbfb6,72,pop
,The Motto,86,Tiësto,The Motto,https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e,82,pop
,august,86,Taylor Swift,folklore,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,94,pop
,ALIEN SUPERSTAR,86,Beyoncé,RENAISSANCE,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,88,pop
,Crazy What Love Can Do,86,David Guetta,Crazy What Love Can Do,https://i.scdn.co/image/ab67616d0000b273654c0a1cb2c30dd8e11c0186,87,pop
,Peaches (feat. Daniel Caesar & Giveon),86,Justin Bieber,Justice,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,90,pop
,Softcore,86,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,83,pop
,Me Fui de Vacaciones,86,Bad Bunny,Un Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,100,reggae
,Every Breath You Take,86,The Police,Synchronicity (Remastered 2003),https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,74,rock
,Mr. Brightside,86,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,77,rock
,The Motto,86,Tiësto,The Motto,https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e,82,electronic
,Gangsta's Paradise,85,Coolio,Gangsta's Paradise,https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc,68,hiphop
,positions,85,Ariana Grande,Positions,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,88,pop
,Levitating (feat. DaBaby),85,Dua Lipa,Future Nostalgia,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,88,pop
,Words (feat. Zara Larsson),85,Alesso,Words (feat. Zara Larsson),https://i.scdn.co/image/ab67616d0000b2738f9c368d8d0f5792ffc5d38e,76,pop
,Wait a Minute!,85,WILLOW,ARDIPITHECUS,https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7,76,pop
,Wake Me Up,85,Avicii,TRUE,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7,80,pop
,Die For You,85,The Weeknd,Starboy,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,93,pop
,Leave Before You Love Me (with Jonas Brothers),85,Marshmello,Leave Before You Love Me,https://i.scdn.co/image/ab67616d0000b273ae40468931087f78919b86ce,83,pop
,everything i wanted,85,Billie Eilish,everything i wanted,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,88,pop
,The Nights,85,Avicii,The Days / Nights,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,80,pop
,Blank Space,85,Taylor Swift,1989 (Deluxe),https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,94,pop
,Ni**as In Paris,84,JAY-Z,Watch The Throne (Deluxe),https://i.scdn.co/image/ab67616d0000b2734a767758e8ebe2443591c9fd,83,hiphop
,See You Again (feat. Kali Uchis),84,"Tyler, The Creator",Flower Boy,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,84,hiphop
,Lost,84,Frank Ocean,channel ORANGE,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,82,hiphop
,Me and Your Mama,84,Childish Gambino,"""Awaken, My Love!""",https://i.scdn.co/image/ab67616d0000b273f78c98bbf2b3c9e2a764203e,78,hiphop
,N95,84,Kendrick Lamar,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,88,hiphop
,Say You Won't Let Go,84,James Arthur,Back from the Edge,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,79,pop
,Something Just Like This,84,The Chainsmokers,Memories...Do Not Open,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,80,pop
,Shallow,84,Lady Gaga,A Star Is Born Soundtrack,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,84,pop
,Where Did You Go? (feat. MNEK),84,Jax Jones,Where Did You Go (feat. MNEK),https://i.scdn.co/image/ab67616d0000b273490a887b85a95378ea66b41d,75,pop
,Payphone,84,Maroon 5,Overexposed Track By Track,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,85,pop
,Let Me Down Slowly,84,Alec Benjamin,Narrated For You,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,76,pop
,All of Me,84,John Legend,Love In The Future (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,77,pop
,Lost,84,Frank Ocean,channel ORANGE,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,82,pop
,goosebumps,84,Travis Scott,Birds In The Trap Sing McKnight,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,87,pop
,Me and Your Mama,84,Childish Gambino,"""Awaken, My Love!""",https://i.scdn.co/image/ab67616d0000b273f78c98bbf2b3c9e2a764203e,78,pop
,Billie Jean,84,Michael Jackson,Thriller 25 Super Deluxe Edition,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,81,pop
,Closer,84,The Chainsmokers,Closer,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,80,pop
,Memories,84,Maroon 5,JORDI (Deluxe),https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,85,pop
,CUFF IT,84,Beyoncé,RENAISSANCE,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,88,pop
,Back In Black,84,AC/DC,Back In Black,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae,80,rock
,Creep,84,Radiohead,Pablo Honey,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,78,rock
,Livin' On A Prayer,84,Bon Jovi,Slippery When Wet,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac,77,rock
,Stressed Out,84,Twenty One Pilots,Blurryface,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3,80,rock
,Highway to Hell,84,AC/DC,Highway to Hell,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,80,rock
,21 Reasons (feat. Ella Henderson),84,Nathan Dawe,21 Reasons (feat. Ella Henderson),https://i.scdn.co/image/ab67616d0000b273ef126ba9057607d88e103904,68,electronic
,Where Did You Go? (feat. MNEK),84,Jax Jones,Where Did You Go (feat. MNEK),https://i.scdn.co/image/ab67616d0000b273490a887b85a95378ea66b41d,75,electronic
,Still D.R.E.,83,Dr. Dre,2001,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5,78,hiphop
,Empire State Of Mind,83,JAY-Z,The Blueprint 3,https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10,83,hiphop
,Godzilla (feat. Juice WRLD),83,Eminem,Music To Be Murdered By,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c,90,hiphop
,Wet Dreamz,83,J. Cole,2014 Forest Hills Drive,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,85,hiphop
,Bam Bam (feat. Ed Sheeran),83,Camila Cabello,Familia,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,82,pop
,Uptown Funk (feat. Bruno Mars),83,Mark Ronson,Uptown Special,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2,74,pop
,Let Me Love You,83,DJ Snake,Encore,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,77,pop
,BREAK MY SOUL,83,Beyoncé,RENAISSANCE,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7,88,pop
,Heartbreak Anniversary,83,Giveon,TAKE TIME,https://i.scdn.co/image/ab67616d0000b27318ff322fcdd47c9400872da6,80,pop
,Better Days (NEIKED x Mae Muller x Polo G),83,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf,68,pop
,Take Me To Church,83,Hozier,Hozier,https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b,76,pop
,Swim,83,Chase Atlantic,Chase Atlantic,https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6,78,pop
,we fell in love in october,83,girl in red,we fell in love in october / forget her,https://i.scdn.co/image/ab67616d0000b273eb13fbc012815ea6e834e842,75,pop
,Moth To A Flame (with The Weeknd),83,Swedish House Mafia,Paradise Again,https://i.scdn.co/image/ab67616d0000b273bd6f8ac82dc5fe1028c14f7d,76,pop
,Bad Memories (feat. Elley Duhé & FAST BOY),83,MEDUZA,Bad Memories (feat. Elley Duhé & FAST BOY),https://i.scdn.co/image/ab67616d0000b27320abd13bf81d8ee406827c38,75,pop
,20 Min,83,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),https://i.scdn.co/image/ab67616d0000b2730d5a84e4e47399d2726c330c,85,pop
,No Lie,83,Sean Paul,Mad Love The Prequel,https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c,79,pop
,you broke me first,83,Tate McRae,you broke me first,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4,78,pop
,7 rings,83,Ariana Grande,"thank u, next",https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,88,pop
,Car's Outside,83,James Arthur,YOU,https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660,79,pop
,What Makes You Beautiful,83,One Direction,Up All Night,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,84,pop
,Thousand Miles,83,The Kid LAROI,Thousand Miles,https://i.scdn.co/image/ab67616d0000b27386322307ddfb6e9c87b82d39,82,pop
,Treat You Better,83,Shawn Mendes,Illuminate,https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b,84,pop
,Levitating,83,Dua Lipa,Future Nostalgia,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,88,pop
,Seven Nation Army,83,The White Stripes,Elephant,https://i.scdn.co/image/ab67616d0000b273a69f71a8794e2d867a52f98f,70,rock
,Have You Ever Seen The Rain,83,Creedence Clearwater Revival,Pendulum (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91,77,rock
,Losing My Religion,83,R.E.M.,Out Of Time (25th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd,72,rock
,Hotel California - 2013 Remaster,83,Eagles,Hotel California (2013 Remaster),https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778,75,rock
,Sweet Child O' Mine,83,Guns N' Roses,Appetite For Destruction,https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60,79,rock
,Pumped Up Kicks,83,Foster The People,Torches,https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5,71,rock
,Shut Up and Dance,83,WALK THE MOON,TALKING IS HARD,https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3,68,rock
,Dreams - 2004 Remaster,83,Fleetwood Mac,Rumours (Super Deluxe),https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,78,rock
,Africa,83,TOTO,Toto IV,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,72,rock
,Thunderstruck,83,AC/DC,The Razors Edge,https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508,80,rock
,Hate It Or Love It,82,The Game,The Documentary,https://i.scdn.co/image/ab67616d0000b273b1d860ab1ba847e778b2796d,74,hiphop
,Ms. Jackson,82,Outkast,Stankonia,https://i.scdn.co/image/ab67616d0000b2732350e31bc346a6c20e9de166,74,hiphop
,In Da Club,82,50 Cent,Get Rich Or Die Tryin',https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,82,hiphop
,Never Sleep (with Lil Baby feat. Travis Scott),82,NAV,Never Sleep,https://i.scdn.co/image/ab67616d0000b273d3c60e0b42ec8f32309f9b61,77,hiphop
,Cash In Cash Out,82,Pharrell Williams,Cash In Cash Out,https://i.scdn.co/image/ab67616d0000b2738f0df54fd6043164d7c07ae3,81,hiphop
,The Spins,82,Mac Miller,K.I.D.S.,https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d,83,hiphop
,Superman,82,Eminem,The Eminem Show,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,90,hiphop
,What A Time (feat. Niall Horan),82,Julia Michaels,Inner Monologue Part 1,https://i.scdn.co/image/ab67616d0000b2737e706949994bcef39b09da4e,74,pop
,Cake By The Ocean,82,DNCE,DNCE,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,71,pop
,I Like Me Better,82,Lauv,I met you when I was 18. (the playlist),https://i.scdn.co/image/ab67616d0000b2735355919e31efac9b14c45c49,78,pop
,Angel Baby,82,Troye Sivan,Angel Baby,https://i.scdn.co/image/ab67616d0000b2735cf05521594fbf41d2a48893,76,pop
,Good Days,82,SZA,Good Days,https://i.scdn.co/image/ab67616d0000b2733097b1375ab17ae5bf302a0a,82,pop
,10 Things I Hate About You,82,Leah Kate,10 Things I Hate About You,https://i.scdn.co/image/ab67616d0000b273596a9d381ffda7d97da5d702,66,pop
,Promiscuous,82,Nelly Furtado,Loose,https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2,74,pop
,Mount Everest,82,Labrinth,Imagination & the Misfit Kid,https://i.scdn.co/image/ab67616d0000b273e4c03429788f0aff263a5fc6,78,pop
,die first,82,Nessa Barrett,die first,https://i.scdn.co/image/ab67616d0000b27391ed605a8b6ba6b5caae826f,69,pop
,Fingers Crossed,82,Lauren Spencer Smith,Fingers Crossed,https://i.scdn.co/image/ab67616d0000b273d455dcb7c245d4ef1646d38e,71,pop
,Yeah! (feat. Lil Jon & Ludacris),82,Usher,Confessions (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da,78,pop
,"Hey, Soul Sister",82,Train,"Save Me, San Francisco (Golden Gate Edition)",https://i.scdn.co/image/ab67616d0000b2736ff8bc258e3ebc835ffe14ca,72,pop
,telepatía,82,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,https://i.scdn.co/image/ab67616d0000b273044a5466dac00f7b3c570b99,79,pop
,double take,82,dhruv,rapunzel,https://i.scdn.co/image/ab67616d0000b2736f04e53cb5309f8e88286842,68,pop
,Electric Love,82,BØRNS,Dopamine,https://i.scdn.co/image/ab67616d0000b273cc2cf912462d8ae4ef856434,67,pop
,Riptide,82,Vance Joy,Dream Your Life Away,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094,75,pop
,Cash In Cash Out,82,Pharrell Williams,Cash In Cash Out,https://i.scdn.co/image/ab67616d0000b2738f0df54fd6043164d7c07ae3,81,pop
,Never Sleep (with Lil Baby feat. Travis Scott),82,NAV,Never Sleep,https://i.scdn.co/image/ab67616d0000b273d3c60e0b42ec8f32309f9b61,77,pop
,Come Back Home,82,Sofia Carson,Purple Hearts (Original Soundtrack),https://i.scdn.co/image/ab67616d0000b2739e73ff641e43efa7dd9b4582,75,pop
,Line Without a Hook,82,Ricky Montgomery,Montgomery Ricky,https://i.scdn.co/image/ab67616d0000b27367ee332af483acd134fd6fd0,70,pop
,XT4S1S,82,Danna Paola,XT4S1S,https://i.scdn.co/image/ab67616d0000b273fe8f849c4669ddb901ab351d,75,pop
,Strawberries & Cigarettes,82,Troye Sivan,Strawberries & Cigarettes,https://i.scdn.co/image/ab67616d0000b273c9eb4c87e1d7f5353908b712,76,pop
,Counting Stars,82,OneRepublic,Native,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,84,pop
,Before You Go,82,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),https://i.scdn.co/image/ab67616d0000b2737b9639babbe96e25071ec1d4,78,pop
,Young And Beautiful,82,Lana Del Rey,Young And Beautiful,https://i.scdn.co/image/ab67616d0000b273d7fb3e4c63020039d1cff6b2,86,pop
,Friends,82,Chase Atlantic,Nostalgia,https://i.scdn.co/image/ab67616d0000b273c6853bb1af2bed82d15918f4,78,pop
,Pink + White,82,Frank Ocean,Blonde,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,82,pop
,Stuck with U (with Justin Bieber),82,Ariana Grande,Stuck with U,https://i.scdn.co/image/ab67616d0000b2732babb9dbd8f5146112f1bf86,88,pop
,Happier,82,Marshmello,Happier,https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa,83,pop
,Story of My Life,82,One Direction,Midnight Memories (Deluxe),https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,84,pop
,Bad Romance,82,Lady Gaga,The Fame Monster (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,84,pop
,Sunshine,82,OneRepublic,Sunshine,https://i.scdn.co/image/ab67616d0000b2733b248f42fb53c64faf1d748e,84,pop
,Maps,82,Maroon 5,V,https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c,85,pop
,Everlong,82,Foo Fighters,The Colour And The Shape,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b,77,rock
,I Was Made For Lovin' You,82,KISS,Dynasty,https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022,73,rock
,Don't Stop Believin',82,Journey,Escape (Bonus Track Version),https://i.scdn.co/image/ab67616d0000b273c5653f9038e42efad2f8a266,74,rock
,Master Of Puppets,82,Metallica,Master Of Puppets (Remastered),https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20,82,rock
,Bohemian Rhapsody - Remastered 2011,82,Queen,A Night At The Opera (2011 Remaster),https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0,84,rock
,Chop Suey!,82,System Of A Down,Toxicity,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578,77,rock
,Here Comes The Sun - Remastered 2009,82,The Beatles,Abbey Road (Remastered),https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,83,rock
,505,82,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,86,rock
,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,82,Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],https://i.scdn.co/image/ab67616d0000b273815cb538fd7821595b2bc8c5,68,electronic
,Love Sosa,81,Chief Keef,Finally Rich,https://i.scdn.co/image/ab67616d0000b273a76616abf60ce17491e95891,73,hiphop
,Praise The Lord (Da Shine) (feat. Skepta),81,A$AP Rocky,TESTING,https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b,81,hiphop
,See You Again (feat. Charlie Puth),81,Wiz Khalifa,See You Again (feat. Charlie Puth),https://i.scdn.co/image/ab67616d0000b2734e5df11b17b2727da2b718d8,82,hiphop
,Unforgettable,81,French Montana,Jungle Rules,https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07,76,hiphop
,HOTEL LOBBY (Unc & Phew),81,Quavo,HOTEL LOBBY (Unc & Phew),https://i.scdn.co/image/ab67616d0000b273e5d4be66b75f70d2ffc7b134,79,hiphop
,Space Cadet (feat. Gunna),81,Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),https://i.scdn.co/image/ab67616d0000b2732887f8c05b5a9f1cb105be29,79,hiphop
,Ric Flair Drip (with Metro Boomin),81,Offset,Without Warning,https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed,78,hiphop
,Hey Ya!,81,Outkast,Speakerboxxx/The Love Below,https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367,74,hiphop
,Cool for the Summer,81,Demi Lovato,Confident,https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784,81,pop
,2002,81,Anne-Marie,Speak Your Mind (Deluxe),https://i.scdn.co/image/ab67616d0000b27338aae75dc37fb42457866ffd,76,pop
,Acapulco,81,Jason Derulo,Acapulco,https://i.scdn.co/image/ab67616d0000b2738544aa5ba43894b7103ec757,80,pop
,Classic,81,MKTO,MKTO,https://i.scdn.co/image/ab67616d0000b2739474419f15773875a495eed3,66,pop
,About Damn Time,81,Lizzo,Special,https://i.scdn.co/image/ab67616d0000b273fe3b1b9cb7183a94e1aafd43,80,pop
,Easy On Me,81,Adele,30,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7,84,pop
,Kings & Queens,81,Ava Max,Heaven & Hell,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7,79,pop
,Toxic,81,Britney Spears,In The Zone,https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4,80,pop
,All I Want,81,Kodaline,In A Perfect World (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2733e42854096da9a3b1ca901c9,70,pop
,Timber (feat. Ke$ha),81,Pitbull,Global Warming: Meltdown (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,82,pop
,Stick Season,81,Noah Kahan,Stick Season,https://i.scdn.co/image/ab67616d0000b273b686c40f663700d17098d6e8,70,pop
,The Color Violet,81,Tory Lanez,Alone At Prom,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67,79,pop
