ID,song,song_popularity,artist,album,album_cover,artist_popularity,genre
,Just Friends,64,Virginia To Vegas,Just Friends,https://i.scdn.co/image/ab67616d0000b273f710590a70d31d9ec8effd11,58,pop
,Stacy,64,Quinn XCII,A Letter To My Younger Self,https://i.scdn.co/image/ab67616d0000b273f83dbc7461aefc08696811c0,67,pop
,By Your Side,64,Mike Perry,By Your Side,https://i.scdn.co/image/ab67616d0000b27356a738615573081d93500f17,66,pop
,Drive and Disconnect,64,Nao,Saturn,https://i.scdn.co/image/ab67616d0000b273ce1455251bfb5e0245c77bc8,58,pop
,Ruin My Life,64,Zara Larsson,Poster Girl,https://i.scdn.co/image/ab67616d0000b273503b16348e47bc3c1c823eba,76,pop
,"Introducing Me - From ""Camp Rock 2: The Final Jam""",64,Nick Jonas,Camp Rock 2: The Final Jam,https://i.scdn.co/image/ab67616d0000b273e0f3cba015a03c59e2f7dd61,64,pop
,Lights Down Low,64,MAX,Hell's Kitchen Angel,https://i.scdn.co/image/ab67616d0000b273cefb1bcf9304bf454bae7f8d,68,pop
,Naturally,64,Selena Gomez & The Scene,Kiss & Tell,https://i.scdn.co/image/ab67616d0000b273847e9e5d22cca026fbe067c2,67,pop
,1 Day 2 Nights,64,HRVY,1 Day 2 Nights,https://i.scdn.co/image/ab67616d0000b273e96aa4078a6a5f6fc46977b4,64,pop
,Set Me Free,64,Joshua Bassett,Crisis / Secret / Set Me Free,https://i.scdn.co/image/ab67616d0000b273aaccdce1c6038f45b7827039,65,pop
,At My Worst (feat. Kehlani),64,Pink Sweat$,PINK PLANET,https://i.scdn.co/image/ab67616d0000b27375af9fb0fa8dc8f3adef6905,70,pop
,Walked Through Hell,64,Anson Seabra,Feeling For My Life,https://i.scdn.co/image/ab67616d0000b2735afa16bad57ffdf82f4b8a2e,68,pop
,Hold Back The River,64,James Bay,Chaos And The Calm,https://i.scdn.co/image/ab67616d0000b273b36f5e7575a59b21aef432f2,71,pop
,Closer (feat. H.E.R.),64,Saweetie,Closer (feat. H.E.R.),https://i.scdn.co/image/ab67616d0000b2732ad7bd63b922a9a3593d19bc,73,pop
,Night Nurse,64,Gregory Isaacs,Night Nurse (Expanded Edition),https://i.scdn.co/image/ab67616d0000b27326f8a0f6a4abe3088c6074ad,55,reggae
,Sentimiento Original,64,Gondwana,Gondwana,https://i.scdn.co/image/ab67616d0000b273ff29bfc1e31c8fb33e816fb7,60,reggae
,Pimper's Paradise,64,Bob Marley & The Wailers,Uprising,https://i.scdn.co/image/ab67616d0000b2731c40418d1c37d727e8e91b04,78,reggae
,Verte,64,Nicki Nicole,Verte,https://i.scdn.co/image/ab67616d0000b27372b1d033c4df671870183589,78,reggae
,Vibra Positiva,64,Zona Ganjah,Con Rastafari Todo Concuerda,https://i.scdn.co/image/ab67616d0000b27306b072d42047dda16ca0c236,59,reggae
,Satisfy My Soul,64,Bob Marley & The Wailers,Kaya,https://i.scdn.co/image/ab67616d0000b273387799441ba867649dfbb702,78,reggae
,American Woman,64,The Guess Who,American Woman,https://i.scdn.co/image/ab67616d0000b2731bc7a864d1cf403ec8e57308,57,rock
,Joker And The Thief,64,Wolfmother,Wolfmother,https://i.scdn.co/image/ab67616d0000b273335534788cbc39cfd23ee993,61,rock
,Turn! Turn! Turn! (To Everything There Is a Season),64,The Byrds,Turn! Turn! Turn!,https://i.scdn.co/image/ab67616d0000b2738ebc5d5d4fcf960b083af081,57,rock
,Gypsy Road,64,Cinderella,Long Cold Winter,https://i.scdn.co/image/ab67616d0000b273f6c21a13a1fff5174fe35ed1,58,rock
,Silent Lucidity - Remastered 2003,64,Queensrÿche,Empire - 20th Anniversary Edition,https://i.scdn.co/image/ab67616d0000b273eeb8caa4fee70e9f8ec15d3b,55,rock
,Let My Love Open The Door,64,Pete Townshend,Empty Glass,https://i.scdn.co/image/ab67616d0000b2733e7111cc866efb341a2988f2,50,rock
,Photograph,64,Ringo Starr,Ringo,https://i.scdn.co/image/ab67616d0000b273493bd0f4bc0e1f3732a75c8d,54,rock
,If You Wanna,64,The Vaccines,What Did You Expect from The Vaccines?,https://i.scdn.co/image/ab67616d0000b27373a8b8f4292ed4f6fb53b69c,58,rock
,Don't Look Back into the Sun,64,The Libertines,Don't Look Back into the Sun,https://i.scdn.co/image/ab67616d0000b2739fd4645a2f1c3cdcc867afe8,56,rock
,Bound For The Floor,64,Local H,As Good As Dead,https://i.scdn.co/image/ab67616d0000b273f5504d1dd44f61d6e8fd8625,52,rock
,Raining Blood,64,Slayer,Reign In Blood,https://i.scdn.co/image/ab67616d0000b273fd833375c806981a61bb82ec,65,rock
,Hey Jealousy,64,Gin Blossoms,New Miserable Experience,https://i.scdn.co/image/ab67616d0000b273e3100bdcdc758b5fab7e4894,58,rock
