song,song_popularity,artist,album,album_cover,artist_popularity,genre
Jam On A Monday Morning,28,Buddy Guy,A Man And The Blues,https://i.scdn.co/image/ab67616d0000b273cabecde17f4fc5db59d3fd73,53,blues
All Your Love,27,Magic Sam,Presenting Magic Sam,https://i.scdn.co/image/ab67616d0000b273810744a6b0412f5b0b9f65c6,38,blues
Big Town Playboy,27,Eddie Taylor,Big Town Playboy,https://i.scdn.co/image/ab67616d0000b27301651871110c629219681f25,24,blues
Tiger Man,27,Kim Wilson,Tiger Man,https://i.scdn.co/image/ab67616d0000b2738c2285f39b9780c9f37f1180,28,blues
You Don't Know My Mind,27,Pink Anderson,Pink Anderson: Carolina Medicine Show Hokum and Blues with Baby Tate,https://i.scdn.co/image/ab67616d0000b2733e5a7bd11b89e7ee7e9dfccd,20,blues
That's All I Need,27,Magic Sam,Presenting Magic Sam,https://i.scdn.co/image/ab67616d0000b273810744a6b0412f5b0b9f65c6,38,blues
Take It Easy,27,Pinetop Perkins,Down In Mississippi,https://i.scdn.co/image/ab67616d0000b2736b7e85f92ab2d54073a088b4,30,blues
Sweet Home Chicago,27,Magic Sam,Presenting Magic Sam,https://i.scdn.co/image/ab67616d0000b273810744a6b0412f5b0b9f65c6,38,blues
Baby You Gotta Change Your Mind,27,Blind Boy Fuller,East Coast Piedmont Style,https://i.scdn.co/image/ab67616d0000b27311f6964ab36cd01ebf347cbb,28,blues
I Could Even Grow a Moustache for You,27,Daniel Norgren,Outskirt,https://i.scdn.co/image/ab67616d0000b273f5415b32e8491ecfd49b4ca8,46,blues
Summertime,27,Billie Holiday,The Essential Billie Holiday,https://i.scdn.co/image/ab67616d0000b2738091898c12b924f574ea6297,63,blues
Trouble In Mind,27,Dinah Washington,The Best In Blues,https://i.scdn.co/image/ab67616d0000b273868a3304f67cb77d6d7e5e0d,57,blues
Crosscut Saw,27,Albert King,The Very Best Of Albert King,https://i.scdn.co/image/ab67616d0000b2736670931adc7d7df5700695b5,49,blues
The Breeze,27,Kenny Sharp,The Breeze,https://i.scdn.co/image/ab67616d0000b273ab522dcef17e2d21d38ce054,19,blues
Still The World Goes Round,27,Sass Jordan,Bitches Blues,https://i.scdn.co/image/ab67616d0000b273cd2b69b69d103e3fc8888fa0,32,blues
Through Being Blue Over You,27,Ghost Hounds,You Broke Me,https://i.scdn.co/image/ab67616d0000b27370b4405461342c2920a15682,32,blues
Last Call,27,Albert Cummings,TEN,https://i.scdn.co/image/ab67616d0000b2733cc34a6b29402254124f718a,37,blues
Down To The Bottom,27,Larry McCray,Blues Without You,https://i.scdn.co/image/ab67616d0000b27303b1cd19493a5ea86b371047,29,blues
Never Get out of These Blues Alive,27,J.D. Simo,Never Get out of These Blues Alive,https://i.scdn.co/image/ab67616d0000b273d643c926434041a3d138fa2f,28,blues
Two Bit Texas Town,27,Sue Foley,Pinky's Blues,https://i.scdn.co/image/ab67616d0000b2734f50cef4040667b4bb2f1a50,29,blues
My Babe,27,Bo Diddley,Super Blues,https://i.scdn.co/image/ab67616d0000b27322b5fb0d093c5a91ab340b47,47,blues
Confessin' The Blues,27,B.B. King,Completely Well,https://i.scdn.co/image/ab67616d0000b2731a04649cc2ddb348a9e08f23,61,blues
My Heart Beat Like a Hammer,27,Fleetwood Mac,The Best of Peter Green's Fleetwood Mac,https://i.scdn.co/image/ab67616d0000b2735da80925863f1660c8899d8d,78,blues
Cryin' Won't Help You Now,27,B.B. King,Completely Well,https://i.scdn.co/image/ab67616d0000b2731a04649cc2ddb348a9e08f23,61,blues
Down the Dirt Road Blues,26,Charley Patton,Presenting Charley Patton,https://i.scdn.co/image/ab67616d0000b2736a6faafc77ca12c288bb2c31,27,blues
Better Day,26,Brownie McGhee,Presenting Brownie McGhee,https://i.scdn.co/image/ab67616d0000b2739148c1b79363a58349632ae0,31,blues
Holding You Up For Love,26,Otis Grand,Grand Union,https://i.scdn.co/image/ab67616d0000b27388cf48b8d59f993eb7cc9faa,13,blues
Death Valley Blues,26,"Arthur ""Big Boy"" Crudup",That's All Right (Mama): The Fire Sessions,https://i.scdn.co/image/ab67616d0000b2738e5a2ce201a81e04f1f1d4ea,32,blues
"How Long, How Long Blues",26,Leroy Carr,The Essential Leroy Carr,https://i.scdn.co/image/ab67616d0000b2736583349beabc903f71275a1d,23,blues
Hard Times,26,A.C. Reed,"Living Chicago Blues, Vol. 3",https://i.scdn.co/image/ab67616d0000b27329d2f00f8558c7edea5a04d1,28,blues
Don't Do It,26,Little Charlie & The Nightcats,The Big Break!,https://i.scdn.co/image/ab67616d0000b27303effc75fec22a804efcb7a6,23,blues
Fallin' Down Blues,26,Robert Wilkins,The Original Rolling Stone,https://i.scdn.co/image/ab67616d0000b273b27d50c053d915863a02e7dc,23,blues
I'm A Fool,26,Eddie Boyd,The Sonet Blues Story,https://i.scdn.co/image/ab67616d0000b27389de6c1983f86058aa91c715,27,blues
You Missed a Good Man,26,Tampa Red,Presenting Tampa Red,https://i.scdn.co/image/ab67616d0000b273d028dd1c1181e6b57c1cb75c,27,blues
Catfish Blues,26,"David ""Honeyboy"" Edwards",Honeyboy Edwards: Missisippi Delta Bluesman,https://i.scdn.co/image/ab67616d0000b2739f5cd87c1d5e639a36cbc1b1,24,blues
Papa's on the House Top,26,Leroy Carr,"Whiskey Is My Habit, Good Women Is All I Crave: The Best Of Leroy Carr",https://i.scdn.co/image/ab67616d0000b2733d8e8826f4ab265e6e4bb78f,23,blues
When The Levee Breaks,26,Memphis Minnie & Kansas Joe,Queen Of The Blues,https://i.scdn.co/image/ab67616d0000b273a0816a5391132bebca12bce1,13,blues
Caldonia,26,James Brown,Messing With The Blues,https://i.scdn.co/image/ab67616d0000b2735b12b79d5cedcf2e624e385a,62,blues
Break on Free (Radio Edit),26,St. Paul Peterson,Break on Free (Radio Edit),https://i.scdn.co/image/ab67616d0000b273998c7da5ba1d7252fbe8a7fc,21,blues
I'm Just Getting Started!,26,Mick Kolassa,I'm Just Getting Started!,https://i.scdn.co/image/ab67616d0000b273c1c7268cabde5a912cec12ff,25,blues
Strong as Steel,26,Janiva Magness,Strong as Steel,https://i.scdn.co/image/ab67616d0000b273b7f6bba9baf9396aa4604248,34,blues
In Blood,26,Emanuel Casablanca,In Blood,https://i.scdn.co/image/ab67616d0000b273927891352da85413c301a696,20,blues
Livin' for the Ones,26,Bonnie Raitt,Livin' for the Ones,https://i.scdn.co/image/ab67616d0000b27329c34c9eafaaf879d236e1ca,59,blues
Great Minds Drink Alike - With Horns,26,Altered Five Blues Band,Great Minds Drink Alike (With Horns),https://i.scdn.co/image/ab67616d0000b27375ee93730aeb423fb8a78220,27,blues
Stagger Lee,26,Delbert McClinton,Stagger Lee,https://i.scdn.co/image/ab67616d0000b273b6c4d799e0f9a6bc74b17144,46,blues
Hungry and Ready (feat. Melvin Taylor),26,John Mayall,The Sun is Shining Down,https://i.scdn.co/image/ab67616d0000b273e2ea253d334de8a69e272eab,44,blues
Dear America,26,Eric Bibb,Dear America,https://i.scdn.co/image/ab67616d0000b273b4caab904851a1c66acab69d,42,blues
In The Water,26,Flipsyde,In The Water,https://i.scdn.co/image/ab67616d0000b2735767add93281325133598d3f,46,blues
Blues Helping - 1999 RemasterStereo,26,Love Sculpture,Blues Helping,https://i.scdn.co/image/ab67616d0000b27312512aea6ae9e7d785eee2ed,26,blues
Blues In D Natural,26,Earl Hooker,Galloping Horses a Lazy Mule / Blues in D Natural,https://i.scdn.co/image/ab67616d0000b27312d7df5ed7ce7175644a1830,38,blues
St. James Infirmary,25,Josh White,The Elektra Years,https://i.scdn.co/image/ab67616d0000b273161f141314a3b5bd42f82ccb,22,blues
Stop Draggin' That Chain Around,25,John Primer,The Real Deal,https://i.scdn.co/image/ab67616d0000b273fd6846460a9b7f98053627f2,25,blues
Rock The Bop,25,Brenda Lee,Love You!,https://i.scdn.co/image/ab67616d0000b273f321f0cdcf87e067a59302c3,54,blues
A Little Bird Told Me,25,Blue Lu Barker,"Capitol Records From The Vaults: ""Vine Street Divas""",https://i.scdn.co/image/ab67616d0000b27330e5907e43425a3904572cb2,14,blues
Star,25,Dana Fuchs,Borrowed Time,https://i.scdn.co/image/ab67616d0000b273239003b37947d4dee9cc65f6,37,blues
Righteous Loving,25,8 Ball Aitken,Heart and Soul,https://i.scdn.co/image/ab67616d0000b273d9b1746e84e83a6d89ad61a9,21,blues
Sand Castles,25,Rehab,Sand Castles,https://i.scdn.co/image/ab67616d0000b2736a7a9e92949ec94b47ccf7a1,55,blues
As The Crow Flies,25,Colin James,Open Road,https://i.scdn.co/image/ab67616d0000b273e93b321d0bd0696b4c8bbc85,40,blues
Twisted Ambition,25,Samantha Fish,Twisted Ambition,https://i.scdn.co/image/ab67616d0000b273d56e018a5b7d679d5c130cca,41,blues
Uh Huh My Baby,25,Koko Taylor,Basic Soul,https://i.scdn.co/image/ab67616d0000b27379f2c359280a74aca12a951d,43,blues
I Must Have A Hole In My Head,25,Buster Benton,Blues & Trouble (Blues Reference 1983-1985),https://i.scdn.co/image/ab67616d0000b273201c743e2028200ce98d78a0,32,blues
Rock Me Baby,25,Robin Trower,Twice Removed from Yesterday,https://i.scdn.co/image/ab67616d0000b27375502adf3c022d3683ef0cb7,44,blues
Hound Dog,25,Big Mama Thornton,Stronger Than Dirt,https://i.scdn.co/image/ab67616d0000b27367bc01ba5494bec9b4a6a7f8,44,blues
Wild Indian Woman,25,Free,Tons Of Sobs,https://i.scdn.co/image/ab67616d0000b273f12c4cf01bcdb1be059c4195,59,blues
Long Grey Mare,25,Gary Moore,Blues For Greeny,https://i.scdn.co/image/ab67616d0000b273837af89eeb0fa012a4748733,59,blues
Sputnik Baby,24,Roosevelt Sykes,Roosevelt Sykes Vol. 10 (1951-1957),https://i.scdn.co/image/ab67616d0000b27346893d954583881e44248fc9,20,blues
If This Is Love,24,Little Charlie & The Nightcats,Disturbing The Peace,https://i.scdn.co/image/ab67616d0000b27392ebae7f2fc88c5fcf9658a8,23,blues
No Ice In My Bourbon,24,Cephas & Wiggins,Cool Down,https://i.scdn.co/image/ab67616d0000b2734433294f43bfa8912661cd59,18,blues
Dust My Broom,24,Elmore James,Shake Your Moneymaker: The Best of the Fire Sessions,https://i.scdn.co/image/ab67616d0000b27345683f284b709828cabf1e6d,44,blues
A Spoonful Blues,24,Charley Patton,Presenting Charley Patton,https://i.scdn.co/image/ab67616d0000b2736a6faafc77ca12c288bb2c31,27,blues
Liquor Store Blues,24,Sleepy John Estes,Presenting Sleepy John Estes,https://i.scdn.co/image/ab67616d0000b2736bc985181d126da076fb9549,22,blues
Cigarette Blues,24,Bo Carter,Presenting Bo Carter,https://i.scdn.co/image/ab67616d0000b27337a46fa5753d476909de82c6,27,blues
"Baby, Please",24,Mighty Joe Young,The Sonet Blues Story,https://i.scdn.co/image/ab67616d0000b2735956d7a95247556fbe7435b1,35,blues
Little Boy Blues,24,"Robert Lockwood, Jr.","Presenting Robert Lockwood, Jr.",https://i.scdn.co/image/ab67616d0000b273eb16f74758941c2fdf0cf7e7,27,blues
Nothin' But The Devil,24,Lightnin' Slim,The Best Of Lightnin' Slim,https://i.scdn.co/image/ab67616d0000b2732fb61a3f3684f561539e6f6f,28,blues
Vietcong Blues,24,Junior Wells' Chicago Blues Band,Vanguard Visionaries,https://i.scdn.co/image/ab67616d0000b27322a7009a329212d625c040f7,29,blues
Why You Wanna Make War - English Version,24,Popa Chubby,Emotional Gangster,https://i.scdn.co/image/ab67616d0000b273fee757b2c31bc5bbe98181b0,36,blues
Right Down The Drain,24,Tinsley Ellis,Devil May Care,https://i.scdn.co/image/ab67616d0000b2734082784d97b664f762b1e45a,35,blues
Miss Information,24,Sugaray Rayford,Miss Information,https://i.scdn.co/image/ab67616d0000b2734153f19fee8484035842dcda,32,blues
Black Rat - Take 4,24,Big Mama Thornton,Big Mama Thornton with the Muddy Waters Blues Band - 1966,https://i.scdn.co/image/ab67616d0000b27361dcdd0be010f9adca5c3072,44,blues
Let Me Love You,24,Jeff Beck,Truth,https://i.scdn.co/image/ab67616d0000b2734dad5a0b9134614386f6cb81,57,blues
You Was Born to Die,23,Blind Willie McTell,Presenting Blind Willie McTell,https://i.scdn.co/image/ab67616d0000b2737122fb0ca37c2c04b82abc2a,31,blues
Preachin' Blues,23,Son House,Forever On My Mind,https://i.scdn.co/image/ab67616d0000b2730a841b5ceed3707d044866ee,35,blues
Hellbound On My Trial,23,Big Joe Williams,Classic Delta Blues,https://i.scdn.co/image/ab67616d0000b2733194d3798fb2afd6001524f2,29,blues
Tumblin' Dice,23,Johnny Copeland,All Blues'd Up: Songs of the Rolling Stones,https://i.scdn.co/image/ab67616d0000b27381f50260719880c751e8f4ad,32,blues
I'm Feeling Alright,23,Big Mama Thornton,Ball n' Chain,https://i.scdn.co/image/ab67616d0000b273f25345e400eb77c2d49f8558,44,blues
Jelly Roll Blues,23,Sweet Emma Barrett,Sweet Emma Barrett And Her New Orleans Music,https://i.scdn.co/image/ab67616d0000b273b7f25dcba0fc42d9aaf73a02,18,blues
B.D. Woman's Blues,23,Lucille Bogan,Shave 'Em Dry: The Best Of Lucille Bogan,https://i.scdn.co/image/ab67616d0000b27328612876d023a2af0bdb3bbc,25,blues
Sitting On Top Of The World,23,Eric Johnson,Sitting on Top of the World / Love Will Never Say Goodbye,https://i.scdn.co/image/ab67616d0000b273f32f8ae0b44f34277cd70faf,47,blues
Bad Man,23,Vaneese Thomas,Bad Man,https://i.scdn.co/image/ab67616d0000b273aa7e7e80c4e4d650209d2d0c,56,blues
Here I'm Is,23,Duke Robillard,Here I'm Is,https://i.scdn.co/image/ab67616d0000b2736de8272727be2e12c901cb2c,30,blues
If You Love to Be Right,23,Andy Kahrs,Together,https://i.scdn.co/image/ab67616d0000b273c890ca9ed8b8b3a1a8989a66,9,blues
Early One Morning,23,Elmore James,Shake Your Money Maker: The Best Of The Fire Sessions,https://i.scdn.co/image/ab67616d0000b2739edadae1fa36bbcfe53430fb,44,blues
Drivin' Blues - Remastered,23,Frijid Pink,Frijid Pink (Digitially Remastered),https://i.scdn.co/image/ab67616d0000b273c89838907d2b9dc54aed96a1,27,blues
I Got What It Takes,23,Koko Taylor,I Got What It Takes,https://i.scdn.co/image/ab67616d0000b27328816edf0af138155fb13425,43,blues
Blue Shadows,23,B.B. King,In London,https://i.scdn.co/image/ab67616d0000b273c924247a48270b322ce34130,61,blues
Like It This Way,23,Fleetwood Mac,Men of the World: The Early Years,https://i.scdn.co/image/ab67616d0000b273826f151ad43e0a46add8e40f,78,blues
Built For Comfort,23,Howlin' Wolf,The Howlin' Wolf Album,https://i.scdn.co/image/ab67616d0000b273f607cf4e41f024326739846a,52,blues
"Smokestack Lightning - Live at the Marquee Club, 1964 - 2015 Remaster",23,The Yardbirds,"Five Live Yardbirds (Live at the Marquee Club, London 1964 - 2015 Remaster)",https://i.scdn.co/image/ab67616d0000b2732c8e0b5288791256f53ef3ac,49,blues
Can't Wait to See My Baby's Face,23,Buster Benton,Blues & Trouble (Blues Reference 1983-1985),https://i.scdn.co/image/ab67616d0000b273201c743e2028200ce98d78a0,32,blues
The Same Thing,23,Muddy Waters,Electric Mud,https://i.scdn.co/image/ab67616d0000b273ef36ec424af54ddb6b4094f3,55,blues
Some Day Baby,22,Lonnie Johnson,Presenting Lonnie Johnson,https://i.scdn.co/image/ab67616d0000b273f85ead0077ccbfbeb51a8faa,29,blues
Garter Snake Blues,22,Victoria Spivey,Presenting Victoria Spivey,https://i.scdn.co/image/ab67616d0000b27370b1c6a6ee81088fa66d2adc,21,blues
Let's Get High,22,Henry Gray,Vol. 1: Blues Won't Let Me Take My Rest,https://i.scdn.co/image/ab67616d0000b27314dcfa557dd247d6be419c86,14,blues
You've Been Goofing,22,Kim Wilson,Take Me Back,https://i.scdn.co/image/ab67616d0000b273b84fc9ded002e6f2c954806c,28,blues
Friar's Point Blues,22,Robert Nighthawk,Presenting Robert Nighthawk,https://i.scdn.co/image/ab67616d0000b27341c44a9ab87575fcd3aa91fe,24,blues
I'm a Mighty Tight Woman,22,Sippie Wallace,First Time I Met the Blues (When the Sun Goes Down series),https://i.scdn.co/image/ab67616d0000b273207980b7349a57a2bd0f7c11,16,blues
Dead Drunk Blues,22,Ma Rainey,"Mother Of The Blues, CD D",https://i.scdn.co/image/ab67616d0000b2738eacc6a82e783245ec348b81,28,blues
Keep A Song In Your Soul,22,Mamie Smith,Crazy Blues: The Best Of Mamie Smith,https://i.scdn.co/image/ab67616d0000b273d8a9ccd3ee8b330614d6bd97,24,blues
Billie's Blues,22,Billie Holiday,The Definitive Collection,https://i.scdn.co/image/ab67616d0000b27310d82976516e75ad4c98a2fa,63,blues
Tease Your Man,22,Koko Taylor,What It Takes: The Chess Years (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2735d1b0da990230c0805e61791,43,blues
Back Water Blues,22,LaVern Baker,Sings Bessie Smith,https://i.scdn.co/image/ab67616d0000b2733aa547eff201663b02dedd2f,40,blues
Sloppy Drunk Blues,22,Lucille Bogan,"Barrelhouse Mamas: Born In The Alley, Raised Up In The Slum",https://i.scdn.co/image/ab67616d0000b27372eefd4172cbbd1309543e9e,25,blues
Two Steps From The Blues,22,Angela Strehli,Two Steps From The Blues,https://i.scdn.co/image/ab67616d0000b2739010ecc57954d67d8e681efb,31,blues
Keep The Faith,22,Gaye Alegbalola,Keep The Faith,https://i.scdn.co/image/ab67616d0000b273150b27684ad736a0c0b4e97d,7,blues
Warm Me Up,22,Mike Clark & the Sugar Sounds,Warm Me Up,https://i.scdn.co/image/ab67616d0000b273b8f9cb99c76ebaf9fb54f0f8,27,blues
Rescue Me,22,Danny Bryant,The Rage to Survive,https://i.scdn.co/image/ab67616d0000b27371711d60ab4ca359df19fd09,28,blues
Lightnin' Strikes One More Time,22,Lightnin' Hopkins,Talkin' Some Sense,https://i.scdn.co/image/ab67616d0000b2734f2979c90f1cfad1abe87482,44,blues
Wash Out,22,Freddie King,Texas Oil - The Complete Federal Recordings,https://i.scdn.co/image/ab67616d0000b27323dfa4abcb9a467e1281b5ac,51,blues
I Can't Quit The Blues,22,Buddy Guy,A Man And The Blues,https://i.scdn.co/image/ab67616d0000b273cabecde17f4fc5db59d3fd73,53,blues
Who Do You Love,22,Bo Diddley,Super Blues,https://i.scdn.co/image/ab67616d0000b27322b5fb0d093c5a91ab340b47,47,blues
Searchin' For A Woman,22,Albert King,Door To Door,https://i.scdn.co/image/ab67616d0000b273c1c4e263a13855ccef3dc162,49,blues
Stop Right Now - Stereo Version,22,Sonny Boy Williamson II,More Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b48c81a7d103f5aedd0b8cb2,46,blues
"Big Legs, Tight Skirt",22,John Lee Hooker,Whiskey & Wimmen: John Lee Hooker's Finest,https://i.scdn.co/image/ab67616d0000b273493d2da36d1d3c9c38e1e4b8,57,blues
Downhearted Blues,22,Son House,The Original Delta Blues (Mojo Workin': Blues For The Next Generation),https://i.scdn.co/image/ab67616d0000b273fa9088a067305620a65be0a7,35,blues
Blues Power,22,Albert King,The Very Best Of Albert King,https://i.scdn.co/image/ab67616d0000b2736670931adc7d7df5700695b5,49,blues
The Sky Is Crying,21,Elmore James,Shake Your Moneymaker: The Best of the Fire Sessions,https://i.scdn.co/image/ab67616d0000b27345683f284b709828cabf1e6d,44,blues
Barbecue Blues,21,Barbecue Bob,Presenting Barbecue Bob,https://i.scdn.co/image/ab67616d0000b273cca9e4e93f1946f1024d2bd0,15,blues
Should I Wait,21,Luther Allison,Blue Streak,https://i.scdn.co/image/ab67616d0000b273314387830cceca5ea25cc8fb,41,blues
Blues After Hours,21,Pee Wee Crayton,The Modern Legacy,https://i.scdn.co/image/ab67616d0000b27309905bd71bc03213399e4a54,32,blues
Doctor Blues,21,Alberta Adams,Detroit Is My Home,https://i.scdn.co/image/ab67616d0000b27358ff716f8baaa7cda2d88fa1,10,blues
I Used to Be Your Sweet Mama,21,Bessie Smith,"The Complete Recordings, Vol. 3",https://i.scdn.co/image/ab67616d0000b273b006133a38a533530c157b9e,38,blues
It's Tight Like That,21,Clara Smith,"I Ain't a Gamblin' Woman, I Got Such-A Rowdy Ways",https://i.scdn.co/image/ab67616d0000b273d06ceacd37f1958e885a1160,11,blues
Billie's Blues - Take 1,21,Billie Holiday,The Essential Billie Holiday,https://i.scdn.co/image/ab67616d0000b2738091898c12b924f574ea6297,63,blues
Haunted House Blues,21,Bessie Smith,"The Complete Recordings, Vol. 1",https://i.scdn.co/image/ab67616d0000b2739a049207b539db16a70dc71c,38,blues
If Only We Could,21,Clarence Spady,If Only We Could,https://i.scdn.co/image/ab67616d0000b273d9bde5b1ae3d8c0889044961,8,blues
Further,21,Dwight & Nicole,Further,https://i.scdn.co/image/ab67616d0000b273ad622b625e524f87c6f7fc4f,19,blues
Solid Ground,21,Davy Knowles,What Happens Next,https://i.scdn.co/image/ab67616d0000b273ca6a3da914ffd3126ca4a487,33,blues
Mirror Blues,21,Diesel,Alone With Blues,https://i.scdn.co/image/ab67616d0000b273bd8c4ba91b0b3494d8e2e0d2,45,blues
Good Time Charlie - Pt. 1 / Single Version,21,"Bobby ""Blue"" Bland",That's It! / Duke Recordings Vol. III,https://i.scdn.co/image/ab67616d0000b2739199c3208b929f40b718c103,47,blues
Rattlesnake Shake - Live 2000,21,Fleetwood Mac,Men of the World: The Early Years,https://i.scdn.co/image/ab67616d0000b273826f151ad43e0a46add8e40f,78,blues
You Put the Heart on Me,21,John Brim,Chicago Blues Session Volume 12,https://i.scdn.co/image/ab67616d0000b2738e004a4fe1ca7672e758dc87,24,blues
Give Me Time to Think,21,Lightnin' Hopkins,Free Form Patterns,https://i.scdn.co/image/ab67616d0000b2739df237fb13762411c4fc7546,44,blues
Callin' For My Darlin',21,Albert King,Door To Door,https://i.scdn.co/image/ab67616d0000b273c1c4e263a13855ccef3dc162,49,blues
Educated Ways,20,The Mannish Boys,Shake for Me,https://i.scdn.co/image/ab67616d0000b273c8217b329b1d4b0529a6ac19,18,blues
Pocketful Of Money,20,Roosevelt Sykes,The Honeydripper,https://i.scdn.co/image/ab67616d0000b273e3c9b4b194a13a57932b794d,20,blues
Here I'm Is,20,Duke Robillard,They Called It Rhythm & Blues,https://i.scdn.co/image/ab67616d0000b273590a32298b321b914f77e8c7,30,blues
Goin' Down Slow,20,St. Louis Jimmy Oden,Blues Legend - The Best Of,https://i.scdn.co/image/ab67616d0000b2736feffe034325392b46929b94,17,blues
Funny Feathers,20,Victoria Spivey,The Victoria Spivey Collection 1926-27,https://i.scdn.co/image/ab67616d0000b2734c10a8b3f9a992e9f554df24,21,blues
Stack O'Lee Blues,20,Ma Rainey,Ma Rainey Vol. 3 (1925-1926),https://i.scdn.co/image/ab67616d0000b27318d844abbc44c90b802f9c2f,28,blues
Good Old Wagon,20,Judy Henske,High Flying Bird,https://i.scdn.co/image/ab67616d0000b273c01757303dd0598d3ed65da6,27,blues
Pay Day,20,Hans Theessink,Pay Day,https://i.scdn.co/image/ab67616d0000b2733cd4e03b430b21b33c6b8251,28,blues
Under Your Spell,20,Tito Jackson,Under Your Spell,https://i.scdn.co/image/ab67616d0000b273401a6b92d905fc11a4064094,18,blues
Poor Black Children,20,Big Daddy Wilson,Poor Black Children,https://i.scdn.co/image/ab67616d0000b27311dc3d26797ffb0046b5c569,29,blues
Raisin' Kane,20,Seth James,Raisin' Kane,https://i.scdn.co/image/ab67616d0000b2738e0a131186119287c7322427,12,blues
Don't Need No Horse,20,Little Walter,The Essential Little Walter,https://i.scdn.co/image/ab67616d0000b27320f3de1822791b066e563a2d,46,blues
Hoochie Coochie Man (Version 2) - Remastered,20,The Graham Bond Organisation,"The Graham Bond Organization - Wade in the Water – Classics, Origins & Oddities",https://i.scdn.co/image/ab67616d0000b2734f9dfb18ab33985dffbc0c87,27,blues
You Got Me,20,John Brim,Whose Muddy Shoes,https://i.scdn.co/image/ab67616d0000b273c861127f71ee0b563ee32761,24,blues
"Tired Of Your Jive - Live At The International Club, Chicago/1966",20,B.B. King,"Blues Is King (Live At The International Club, Chicago/1966)",https://i.scdn.co/image/ab67616d0000b27345d73b2f50a5b168a6a20eac,61,blues
My Mama Don't Allow Me,19,"Arthur ""Big Boy"" Crudup","Presenting Arthur ""Big Boy"" Crudup",https://i.scdn.co/image/ab67616d0000b27396602e6f09d329f2447a0f71,32,blues
Trouble In Mind (9510),19,"Bertha ""Chippie"" Hill","Bertha ""Chippie"" Hill 1925-1929",https://i.scdn.co/image/ab67616d0000b2734746c9e17ee4ce947710f57f,10,blues
Boogie'n My Woogie,19,Gladys Bentley,Boogie Woogie Gals,https://i.scdn.co/image/ab67616d0000b273e15310472344af384f128df0,8,blues
Billy Boy's Jump,19,Billy Boy Arnold,Goin' To Chicago,https://i.scdn.co/image/ab67616d0000b273b31e2c5278b6877cffd5b577,28,blues
Shiver 'N Shake,19,Albert Collins,Truckin' With Albert Collins,https://i.scdn.co/image/ab67616d0000b273a64565037dced3e707a3cad5,45,blues
So Unkind - 1999 RemasterStereo,19,Love Sculpture,Blues Helping,https://i.scdn.co/image/ab67616d0000b27312512aea6ae9e7d785eee2ed,26,blues
Choo Choo Ch'Boogie,19,"Clarence ""Gatemouth"" Brown",Calrence 'Gatemouth' Brown Sings Louis Jordan (The Definitive Black & Blue Sessions),https://i.scdn.co/image/ab67616d0000b273666af5e6b10d4495674d8de0,33,blues
I Got My Eyes On You,19,Buddy Guy,I Was Walking Through The Woods (Expanded Edition),https://i.scdn.co/image/ab67616d0000b2739583cae341728f0e9b29ea5a,53,blues
Still Got The Blues,19,Chuck Berry,Blues,https://i.scdn.co/image/ab67616d0000b273668782979d026896df6f6348,64,blues
Buzz Me Baby,19,Fleetwood Mac,Men of the World: The Early Years,https://i.scdn.co/image/ab67616d0000b273826f151ad43e0a46add8e40f,78,blues
Highway 60,19,"Johnny ""Guitar"" Watson",Vivid Sound,https://i.scdn.co/image/ab67616d0000b27348cc5170fb945cbe88e4de05,40,blues
Worried Life Blues,18,Big Maceo,The Bluebird Recordings 1941-1942,https://i.scdn.co/image/ab67616d0000b273a20958da77b71681d2cf6813,21,blues
Midnight Special - Remastered 2002,18,Lead Belly,Take This Hammer - The Complete RCA Victor Recordings - When The Sun Goes Down Series,https://i.scdn.co/image/ab67616d0000b273e5840cde02a8d51b60336a67,39,blues
I've Got Blood In My Eyes For You,18,Mississippi Sheiks,Honey Babe Let The Deal Go Down: The Best Of Mississippi Sheiks,https://i.scdn.co/image/ab67616d0000b2738b5bf1abbdc0f4133fc30cc2,19,blues
Down By The Riverside,18,Sonny Terry and Brownie McGhee,An Introduction To Sonny Terry & Brownie McGhee,https://i.scdn.co/image/ab67616d0000b2735b7a346475373e01850aece9,27,blues
Moanin' Low,18,Eva Taylor,"The First Torch Singers, Vol. I: The Twenties",https://i.scdn.co/image/ab67616d0000b273b4ddbc867c74831f9f642f0d,12,blues
Rock Me - Remastered,18,Sister Rosetta Tharpe,Anthology: The Deluxe Collection (Remastered),https://i.scdn.co/image/ab67616d0000b273dd293137aad49f08e6c5740d,39,blues
Somebody Help Me - Mono Version,18,Sonny Boy Williamson II,More Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b48c81a7d103f5aedd0b8cb2,46,blues
You Can't Judge A Book By Its Cover,18,Bo Diddley,Super Blues,https://i.scdn.co/image/ab67616d0000b27322b5fb0d093c5a91ab340b47,47,blues
Don't Start Cryin' Now,18,Slim Harpo,Retrospective 1957-62,https://i.scdn.co/image/ab67616d0000b273d7aa884ec4ee7f0ef6f3a9cd,45,blues
Hard Luck Blues,18,Tommy Tucker,Hi-Heel Sneakers,https://i.scdn.co/image/ab67616d0000b2731e703ae8fc9e6dc6891c1723,29,blues
