song,song_popularity,artist,album,album_cover,artist_popularity,genre
Wildflowers & Wine,58,Marcus King,El Dorado,https://i.scdn.co/image/ab67616d0000b273fd42352c1f58e01e792a2ee0,56,blues
Midnight in Harlem,58,Tedeschi Trucks Band,Revelator,https://i.scdn.co/image/ab67616d0000b273e4ca61044bed05034bfef216,55,blues
Texas Flood,58,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,61,blues
Hound Dog,57,Big Mama Thornton,Ball n' Chain,https://i.scdn.co/image/ab67616d0000b273f25345e400eb77c2d49f8558,44,blues
All Your Love - Stereo,57,John Mayall & The Bluesbreakers,Bluesbreakers,https://i.scdn.co/image/ab67616d0000b273c40ff56a16cebb8f30af1f66,48,blues
"One Bourbon, One Scotch, One Beer",57,John Lee Hooker,The Real Folk Blues,https://i.scdn.co/image/ab67616d0000b27310eb89d605247b9d3dee9e09,57,blues
Leaving Trunk,57,Taj Mahal,Taj Mahal,https://i.scdn.co/image/ab67616d0000b273cc837c65adffa13659a3bafe,54,blues
Chains And Things,57,B.B. King,Indianola Mississippi Seeds,https://i.scdn.co/image/ab67616d0000b273dac4fc8f79d08515f048ddc7,61,blues
Crossroads - Live,57,Cream,Wheels Of Fire,https://i.scdn.co/image/ab67616d0000b2735c7731f5acdcb2d02d78b7ee,61,blues
Sound & Color,57,Alabama Shakes,Sound & Color (Deluxe),https://i.scdn.co/image/ab67616d0000b27332c3af4422e6186f3939653f,60,blues
For the Love of Money,57,The Black Keys,Dropout Boogie,https://i.scdn.co/image/ab67616d0000b2730e8e7267c0b377e5751630f3,70,blues
Feels Like Rain (feat. Bonnie Raitt),56,Buddy Guy,Feels Like Rain,https://i.scdn.co/image/ab67616d0000b273c4f5a7acc1ddba46680ea814,53,blues
I'm A Man,56,Bo Diddley,Bo Diddley,https://i.scdn.co/image/ab67616d0000b273dcd1d02a2b91f0842ad105ed,47,blues
Lie To Me,56,Jonny Lang,Lie To Me,https://i.scdn.co/image/ab67616d0000b27305fdcf33799ab844f54541e8,46,blues
Riding with the King,56,Eric Clapton,Riding with the King,https://i.scdn.co/image/ab67616d0000b273c11a2f41352af5dcb2a7e31a,71,blues
Have You Ever Loved A Woman?,56,Derek & The Dominos,Layla And Other Assorted Love Songs (Remastered 2010),https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc,59,blues
Hit Or Miss,55,Odetta,Odetta Sings,https://i.scdn.co/image/ab67616d0000b2733fbf596c80dee23ff2d49996,43,blues
Mrs.,55,Leon Bridges,Good Thing,https://i.scdn.co/image/ab67616d0000b273a47ee7a49c53ccdcb38dc874,71,blues
Goodbye Carolina,55,The Marcus King Band,Goodbye Carolina,https://i.scdn.co/image/ab67616d0000b273df9d08c59139a99e1eadd5cf,53,blues
I'd Rather Go Blind,55,Joe Bonamassa,Don't Explain,https://i.scdn.co/image/ab67616d0000b2730a8aab53691b1d43bfdd3158,57,blues
Lenny,55,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,61,blues
Polk Salad Annie,54,Tony Joe White,Black & White,https://i.scdn.co/image/ab67616d0000b273890503a2c62eebf08e8ffd2c,49,blues
I'm Your Hoochie Coochie Man,54,Muddy Waters,King Of The Electric Blues,https://i.scdn.co/image/ab67616d0000b2731063bd72c8de25474308ccc9,55,blues
"Damn Right, I've Got the Blues",54,Buddy Guy,"Damn Right, I've Got The Blues",https://i.scdn.co/image/ab67616d0000b273908b48f4d0d898567fdfd6e2,53,blues
Bo Diddley,54,Bo Diddley,Bo Diddley,https://i.scdn.co/image/ab67616d0000b273dcd1d02a2b91f0842ad105ed,47,blues
I'm In The Mood,54,John Lee Hooker,The Real Folk Blues,https://i.scdn.co/image/ab67616d0000b27310eb89d605247b9d3dee9e09,57,blues
"Corinna - From ""The Natch'l Blues""",54,Taj Mahal,The Natch'l Blues,https://i.scdn.co/image/ab67616d0000b273924652e54e8a91fa212f01c5,54,blues
Love Me Like a Man - 2008 Remaster,54,Bonnie Raitt,Give It Up (2008 Remaster),https://i.scdn.co/image/ab67616d0000b273e0ac4c3ecdadb568d49d85eb,59,blues
Part of Me,54,Tedeschi Trucks Band,Made Up Mind,https://i.scdn.co/image/ab67616d0000b273154b7335f52189bf3d895879,55,blues
Nick Of Time,54,Bonnie Raitt,Nick Of Time,https://i.scdn.co/image/ab67616d0000b273245c235e7ecf5e8c6969759f,59,blues
Outside Woman Blues,54,Cream,Disraeli Gears (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273db1fb2dede292908e86d94d7,61,blues
Wang Dang Doodle,53,Koko Taylor,Koko Taylor,https://i.scdn.co/image/ab67616d0000b27324726d9f0e2312507fbc1735,43,blues
"Cold, Cold Feeling",53,Albert Collins,Ice Pickin',https://i.scdn.co/image/ab67616d0000b273ab7120e16c330940e2ebb5a5,45,blues
Be Careful With a Fool,53,Johnny Winter,Johnny Winter,https://i.scdn.co/image/ab67616d0000b27305e6346e31e001003b24cb21,45,blues
Cadillac Assembly Line,53,Melvin Taylor,"Plays the Blues for You (feat. Lucky Peterson, Titus Williams, Ray ""Killer"" Allison) [Blues Power]",https://i.scdn.co/image/ab67616d0000b273dea25f327a8ae1257b7ace4f,42,blues
Scratch My Back,53,The Fabulous Thunderbirds,The Fabulous Thunderbirds,https://i.scdn.co/image/ab67616d0000b273a8315160dd5404473c7f43ab,44,blues
I'm Tore Down,53,Freddie King,Getting Ready... (World),https://i.scdn.co/image/ab67616d0000b273be4c277f6b8f6bedf7135496,51,blues
Why I Sing The Blues,53,B.B. King,Live And Well,https://i.scdn.co/image/ab67616d0000b27319a3b9c7824139d35bc9458c,61,blues
To Know You Is To Love You,53,B.B. King,To Know You Is To Love You,https://i.scdn.co/image/ab67616d0000b273c9a676137b6726fe035e814a,61,blues
neve give up,53,Son Little,aloha,https://i.scdn.co/image/ab67616d0000b2730d830a3889104c583daff2e4,53,blues
Voodoo Child (Slight Return),53,Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273eb72e98b6e645a68cdfe72a4,61,blues
Up and Rolling,53,North Mississippi Allstars,Up and Rolling,https://i.scdn.co/image/ab67616d0000b273c8a22b907821edb18a96714f,46,blues
The House Is Rockin',53,Stevie Ray Vaughan,In Step,https://i.scdn.co/image/ab67616d0000b273fb58ea8f6d1a6d3ac6ee9731,61,blues
Baby Scratch My Back - Single Version,52,Slim Harpo,The Excello Singles Anthology,https://i.scdn.co/image/ab67616d0000b273f0cf3871122092785943b264,45,blues
Junker's Blues,52,Champion Jack Dupree,Blues From The Gutter,https://i.scdn.co/image/ab67616d0000b273b1ae21861d1302c0896e81a8,38,blues
Right Next Door (Because Of Me),52,Robert Cray,20th Century Masters: The Millennium Collection: Best Of Robert Cray,https://i.scdn.co/image/ab67616d0000b273a538078c0305d86e53579199,46,blues
Don't Be Afraid Of The Dark,52,The Robert Cray Band,Don't Be Afraid Of The Dark,https://i.scdn.co/image/ab67616d0000b2736b0ff88a5ece8f97afd63150,39,blues
I Fall Apart,52,Rory Gallagher,Rory Gallagher (Remastered 2017),https://i.scdn.co/image/ab67616d0000b2731b6bd3cc10f42a536921c008,54,blues
Hellbound Train,52,Savoy Brown,Hellbound Train,https://i.scdn.co/image/ab67616d0000b27303691d3b75d693a4a719bcbe,44,blues
Boogie Chillen,52,John Lee Hooker,King Of The Boogie,https://i.scdn.co/image/ab67616d0000b27309b6676306a43a3366e27220,57,blues
Love Struck Baby,52,Stevie Ray Vaughan,Texas Flood (Legacy Edition),https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,61,blues
"Do Right Woman, Do Right Man",52,Etta James,Heart & Soul: A Retrospective,https://i.scdn.co/image/ab67616d0000b273617f78eb4389bb0a7d27719a,65,blues
CRY,52,Jon Batiste,WE ARE,https://i.scdn.co/image/ab67616d0000b273185c1d65f3b51465282c1a68,57,blues
Good To You,52,Jonny P,Good To You,https://i.scdn.co/image/ab67616d0000b273c14b78fea2ec7070c8216ae7,35,blues
Blues Deluxe,52,Joe Bonamassa,Blues Deluxe,https://i.scdn.co/image/ab67616d0000b273d75038a918f9d311ee7fed0e,57,blues
Hear My Train a Comin',52,Jimi Hendrix,"People, Hell & Angels",https://i.scdn.co/image/ab67616d0000b2734fdf251a3d05164e4a10c020,70,blues
Working Man,51,Otis Rush,Mourning In The Morning,https://i.scdn.co/image/ab67616d0000b273fea221fa82df5694437b3c10,41,blues
Take Out Some Insurance,51,Jimmy Reed,Rockin' With Reed,https://i.scdn.co/image/ab67616d0000b2739b757333db6ca9bfa06e9547,42,blues
Bad News Is Coming,51,Luther Allison,Bad News Is Coming,https://i.scdn.co/image/ab67616d0000b2735d57a5f0229d2ffd56e8ae1f,41,blues
Cross Road Blues,51,Robert Johnson,King Of The Delta Blues Singers,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6,44,blues
I Put a Spell On You,51,Screamin' Jay Hawkins,At Home with Screamin' Jay Hawkins,https://i.scdn.co/image/ab67616d0000b273c8a1366f0f2073775e931aa3,39,blues
